Char,Width,"P. count",Pixels
=Q,=9,=64,"=2,0,147,3,0,0,4,0,0,5,0,36,1,1,71,6,1,117,7,2,0,0,3,144,7,3,105,0,4,147,7,4,67,1,5,106,7,5,0,1,6,76,6,6,0,2,7,197,3,7,0,4,7,0,5,7,36,7,7,119,"
=q,=9,=40,"=1,0,178,2,0,0,3,0,36,4,0,0,1,1,96,4,1,0,0,2,147,4,2,144,0,3,147,4,3,147,1,4,103,4,4,0,1,5,188,2,5,0,3,5,36,4,5,36,4,6,79,4,7,71,"
=R,=9,=40,"=0,0,112,1,0,0,2,0,0,3,0,0,0,1,71,4,1,40,0,2,73,4,2,109,0,3,72,4,3,0,0,4,73,1,4,0,2,4,0,3,4,0,0,5,73,3,5,159,0,6,73,4,6,38,0,7,107,4,7,186,"
=r,=7,=18,"=0,0,107,1,0,143,2,0,0,0,1,71,1,1,117,0,2,71,0,3,69,0,4,71,0,5,107,"
=S,=9,=40,"=1,0,110,2,0,0,3,0,0,4,0,184,0,1,87,0,2,184,1,3,78,2,3,187,3,4,0,4,5,79,4,6,36,1,7,37,2,7,0,3,7,0,"
=s,=7,=30,"=1,0,0,2,0,0,3,0,0,0,1,146,1,2,38,3,3,38,4,4,157,1,5,0,2,5,0,3,5,0,"
=T,=9,=48,"=0,0,0,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,3,1,79,3,2,74,3,3,74,3,4,70,3,5,72,3,6,74,3,7,108,"
=t,=8,=21,"=0,0,69,0,1,0,1,1,0,0,2,76,0,3,73,0,4,73,0,5,178,1,6,38,2,6,99,"
=U,=9,=48,"=0,0,112,5,0,110,0,1,71,5,1,70,0,2,73,5,2,71,0,3,72,5,3,71,0,4,73,5,4,72,0,5,146,5,5,0,1,6,195,5,6,36,2,7,0,3,7,0,4,7,73,"
=V,=9,=48,"=0,0,0,5,0,184,0,1,143,5,1,0,1,2,106,5,2,87,1,3,0,4,3,109,1,4,87,4,4,36,2,5,154,2,6,38,3,6,0,3,7,119,"
=v,=7,=30,"=0,0,36,4,0,36,4,1,109,1,2,38,3,2,87,1,3,107,3,3,0,2,4,0,3,4,86,2,5,0,"
=W,=9,=72,"=0,0,0,4,0,0,8,0,36,0,1,71,4,1,0,8,1,36,3,2,92,4,2,97,5,2,199,8,2,93,1,3,154,3,3,36,5,3,38,7,3,83,1,4,0,3,4,69,5,4,109,7,4,34,1,5,109,7,5,38,2,6,0,6,6,0,7,6,99,2,7,0,6,7,0,"
=w,=7,=48,"=0,0,93,3,0,177,7,0,36,0,1,38,3,1,0,4,1,76,7,1,107,0,2,143,4,2,79,1,3,104,2,3,112,6,3,37,1,4,38,2,4,38,5,4,0,6,4,114,1,5,143,2,5,109,5,5,74,"
=X,=9,=48,"=1,0,147,5,0,110,1,1,111,4,1,34,2,2,78,2,3,92,3,3,0,2,4,0,3,4,38,2,5,92,4,5,119,1,6,36,4,6,183,0,7,178,5,7,0,"
=x,=7,=30,"=1,0,178,4,0,73,1,1,112,3,1,0,2,2,0,2,3,37,3,3,159,1,4,70,3,4,157,0,5,178,4,5,0,"
=Y,=9,=48,"=0,0,187,5,0,36,1,1,38,4,1,174,5,1,174,2,2,110,4,2,0,2,3,0,3,3,77,3,4,119,3,5,74,3,6,74,3,7,108,"
=y,=10,=45,"=0,0,0,4,0,110,0,1,87,4,1,73,1,2,114,1,3,73,3,3,36,2,4,157,3,4,139,2,5,0,2,6,36,0,8,70,1,8,146,"
=Z,=9,=48,"=1,0,0,2,0,0,3,0,0,4,0,0,5,0,104,4,1,57,3,3,78,2,4,76,1,6,52,0,7,102,1,7,0,2,7,0,3,7,0,4,7,0,5,7,153,"
=z,=7,=30,"=0,0,153,1,0,0,2,0,0,3,0,0,4,0,0,3,1,143,3,2,127,2,3,0,1,4,50,0,5,76,1,5,0,2,5,0,3,5,0,4,5,0,"
=Ç,=12,=77,"=2,0,156,3,0,0,4,0,0,5,0,0,6,0,74,1,1,76,1,2,157,0,3,102,0,4,129,1,5,166,1,6,81,3,7,0,4,7,25,5,7,0,6,7,78,4,8,0,5,9,115,4,10,0,"
=ç,=10,=45,"=2,0,0,3,0,0,4,0,94,1,1,193,0,2,191,0,3,191,1,4,148,2,5,0,3,5,0,4,5,92,3,6,204,3,7,0,2,8,230,3,8,191,"
=l,=9,=16,"=0,0,139,0,1,95,0,2,94,0,3,94,0,4,92,0,5,91,0,6,88,1,7,0,"
=k,=9,=32,"=0,0,78,0,1,52,0,2,51,3,2,76,0,3,51,2,3,158,0,4,51,1,4,0,2,4,0,0,5,49,2,5,57,0,6,51,3,6,56,0,7,76,"
=A,=9,=56,"=3,0,0,3,1,0,4,1,0,2,2,183,4,2,40,2,3,0,2,4,143,5,4,0,1,5,73,2,5,0,3,5,0,4,5,0,5,5,0,1,6,36,6,6,159,0,7,87,6,7,0,"
=B,=9,=48,"=0,0,143,1,0,0,2,0,0,3,0,0,4,0,92,0,1,92,5,1,253,0,2,92,5,2,242,0,3,92,1,3,0,2,3,0,3,3,0,4,3,0,0,4,92,4,4,255,0,5,92,5,5,200,0,6,91,5,6,28,0,7,141,1,7,0,2,7,0,3,7,0,4,7,139,"
=0,=9,=40,"=1,0,104,2,0,104,3,0,52,0,1,153,4,1,141,0,2,52,4,2,0,0,3,0,4,3,102,0,4,0,4,4,105,0,5,26,4,5,26,0,6,130,4,6,127,1,7,83,2,7,107,3,7,76,"
=1,=9,=24,"=1,0,76,1,1,79,1,2,108,1,3,104,1,4,104,1,5,104,1,6,102,0,7,105,1,7,25,2,7,84,"
=2,=9,=32,"=1,0,147,2,0,110,3,0,147,3,1,104,3,3,109,2,4,80,1,5,92,0,7,0,1,7,154,2,7,150,3,7,147,"
=3,=9,=32,"=1,0,191,2,0,185,3,1,100,3,2,140,2,3,191,3,4,149,3,6,224,0,7,139,1,7,190,2,7,143,"
=4,=9,=40,"=3,0,147,4,0,147,3,1,93,4,1,154,2,2,183,4,2,154,1,3,147,4,3,149,4,4,149,0,5,36,1,5,152,2,5,152,3,5,107,4,5,36,4,6,156,4,7,151,"
=5,=9,=32,"=0,0,25,1,0,102,2,0,102,0,1,102,0,2,102,0,3,102,1,3,111,2,3,80,3,4,28,3,5,100,3,6,51,0,7,79,1,7,104,2,7,76,"
=6,=9,=40,"=2,0,110,3,0,147,1,1,143,0,2,184,0,3,0,2,3,147,3,3,109,0,4,0,4,4,78,0,5,36,4,5,0,0,6,92,4,6,143,1,7,152,2,7,152,3,7,143,"
=7,=9,=40,"=0,0,147,1,0,147,2,0,143,3,0,143,4,0,0,4,1,156,3,2,87,3,3,74,2,5,36,2,6,87,1,7,109,"
=8,=9,=40,"=1,0,110,2,0,147,3,0,73,0,1,36,4,1,196,0,2,73,4,2,95,1,3,117,2,3,186,3,3,181,1,4,183,3,4,116,0,5,109,4,5,39,0,6,74,4,6,36,1,7,78,2,7,144,3,7,147,"
=9,=9,=40,"=1,0,76,2,0,102,3,0,104,0,1,51,4,1,168,0,2,102,4,2,27,0,3,26,4,3,0,1,4,57,2,4,102,4,4,0,4,5,109,3,6,127,0,7,157,1,7,104,2,7,76,"
=[,=10,=18,"=0,0,141,1,0,48,0,1,97,0,2,92,0,3,95,0,4,94,0,5,95,0,6,94,0,7,94,0,8,139,1,8,51,"
=],=10,=18,"=0,0,48,1,0,133,1,1,102,1,2,94,1,3,94,1,4,93,1,5,89,1,6,97,1,7,93,0,8,48,1,8,144,"
=g,=10,=54,"=1,0,127,2,0,0,3,0,0,4,0,52,5,0,76,1,1,159,5,1,56,0,2,104,5,2,55,0,3,104,5,3,53,1,4,138,4,4,153,5,4,52,2,5,0,3,5,0,4,5,51,5,5,55,5,6,141,4,7,76,1,8,150,2,8,27,3,8,52,"
=u,=7,=30,"=0,0,107,4,0,110,0,1,71,4,1,73,0,2,71,4,2,73,0,3,71,4,3,107,0,4,177,4,4,0,1,5,38,2,5,0,3,5,110,4,5,73,"
=:,=6,=5,"=0,0,0,0,4,0,"
=☼,=10,=81,"=1,0,0,4,0,0,5,0,0,6,0,41,7,0,41,0,1,0,1,1,0,4,1,0,5,1,0,6,1,0,7,1,41,8,1,41,0,2,0,3,2,0,4,2,0,5,2,0,8,2,41,0,3,41,3,3,0,4,3,0,5,3,0,8,3,41,0,4,41,1,4,41,2,4,41,3,4,0,5,4,0,6,4,41,7,4,41,8,4,41,1,5,41,2,5,41,3,5,0,5,5,0,6,5,41,7,5,41,2,6,0,3,6,0,4,6,0,5,6,0,6,6,41,2,7,0,4,7,0,6,7,0,2,8,0,4,8,0,6,8,0,"
=☼,=12,=143,"=6,0,105,5,1,105,6,1,160,7,1,105,4,2,105,5,2,105,6,2,160,7,2,105,8,2,105,0,3,105,1,3,105,2,3,105,3,3,105,4,3,105,5,3,105,6,3,160,7,3,105,8,3,105,9,3,105,10,3,105,11,3,105,12,3,105,1,4,105,2,4,105,3,4,160,4,4,160,5,4,160,6,4,160,7,4,160,8,4,160,9,4,160,10,4,105,11,4,105,2,5,105,3,5,105,4,5,160,5,5,160,6,5,160,7,5,160,8,5,160,9,5,105,10,5,105,3,6,105,4,6,105,5,6,105,6,6,160,7,6,105,8,6,105,9,6,105,3,7,105,4,7,105,5,7,160,6,7,160,7,7,160,8,7,105,9,7,105,2,8,105,3,8,105,4,8,160,5,8,160,6,8,105,7,8,160,8,8,160,9,8,105,10,8,105,2,9,105,3,9,160,4,9,160,5,9,105,7,9,105,8,9,160,9,9,160,10,9,105,1,10,105,2,10,160,3,10,105,9,10,105,10,10,160,11,10,105,"
