Char,Width,"P. count",Pixels
=N,=11,=70,"=0,0,0,6,0,0,0,1,0,1,1,23,6,1,0,0,2,0,1,2,47,2,2,119,6,2,0,0,3,0,2,3,0,6,3,0,0,4,0,3,4,47,6,4,0,0,5,0,3,5,70,6,5,0,0,6,0,4,6,0,6,6,0,0,7,0,5,7,75,6,7,0,0,8,0,5,8,49,6,8,0,0,9,0,6,9,0,"
=G,=11,=80,"=2,0,140,3,0,0,4,0,0,5,0,23,1,1,68,2,1,91,6,1,68,0,2,139,1,2,91,0,3,0,0,4,0,0,5,0,5,5,115,6,5,0,7,5,0,0,6,0,7,6,0,0,7,141,1,7,69,7,7,0,1,8,47,2,8,93,6,8,24,7,8,0,2,9,116,3,9,0,4,9,0,5,9,70,7,9,0,"
=I,=11,=30,"=0,0,0,1,0,0,2,0,0,1,1,0,1,2,0,1,3,0,1,4,0,1,5,0,1,6,0,1,7,0,1,8,0,0,9,0,1,9,0,2,9,0,"
=A,=11,=80,"=3,0,98,4,0,25,3,1,0,4,1,0,3,2,74,4,2,100,2,3,73,5,3,26,2,4,0,5,4,0,2,5,73,5,5,102,1,6,49,2,6,0,3,6,0,4,6,0,5,6,0,6,6,0,1,7,0,6,7,0,0,8,140,1,8,72,6,8,126,7,8,102,0,9,24,7,9,0,"
=H,=11,=70,"=0,0,0,6,0,0,0,1,0,6,1,0,0,2,0,6,2,0,0,3,0,6,3,0,0,4,0,6,4,0,0,5,0,1,5,0,2,5,0,3,5,0,4,5,0,5,5,0,6,5,0,0,6,0,6,6,0,0,7,0,6,7,0,0,8,0,6,8,0,0,9,0,6,9,0,"
=C,=11,=80,"=3,0,44,4,0,0,5,0,23,6,0,98,1,1,67,2,1,89,7,1,48,0,2,137,1,2,67,0,3,0,0,4,0,0,5,0,0,6,22,1,7,68,1,8,69,2,8,69,7,8,0,3,9,46,4,9,0,5,9,23,6,9,94,"
=T,=11,=70,"=0,0,0,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,3,1,0,3,2,0,3,3,0,3,4,0,3,5,0,3,6,0,3,7,0,3,8,0,3,9,0,"
=Ã,=13,=96,"=3,0,90,5,0,70,2,1,0,4,1,23,5,1,111,3,2,93,4,2,91,3,3,0,4,3,0,3,4,67,4,4,44,2,5,88,5,5,90,2,6,0,5,6,0,2,7,23,5,7,0,1,8,89,2,8,0,3,8,0,4,8,0,5,8,0,6,8,90,1,9,0,6,9,0,1,10,23,6,10,24,0,11,96,1,11,142,6,11,139,7,11,92,"
=0,=11,=70,"=2,0,23,3,0,0,4,0,23,1,1,0,5,1,0,0,2,91,6,2,96,0,3,23,6,3,23,0,4,0,6,4,0,0,5,0,6,5,0,0,6,24,6,6,23,0,7,97,6,7,96,1,8,0,5,8,0,2,9,25,3,9,0,4,9,25,"
=4,=11,=70,"=4,0,118,5,0,0,4,1,0,5,1,0,3,2,24,5,2,0,2,3,24,5,3,0,1,4,48,5,4,0,0,5,94,1,5,142,5,5,0,0,6,0,1,6,0,2,6,0,3,6,0,4,6,0,5,6,0,6,6,0,5,7,0,5,8,0,5,9,0,"
=1,=11,=50,"=2,0,0,1,1,26,2,1,0,0,2,76,2,2,0,2,3,0,2,4,0,2,5,0,2,6,0,2,7,0,2,8,0,0,9,0,1,9,0,2,9,0,3,9,0,4,9,0,"
=3,=11,=60,"=1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,4,1,26,3,2,124,4,2,101,3,3,49,2,4,0,3,4,25,4,4,124,4,5,98,5,5,100,5,6,0,5,7,0,0,8,123,1,8,98,4,8,98,5,8,98,1,9,124,2,9,0,3,9,0,4,9,121,"
=9,=11,=70,"=2,0,0,3,0,0,4,0,74,1,1,24,4,1,148,5,1,24,0,2,24,5,2,99,6,2,147,0,3,0,6,3,50,0,4,24,6,4,0,1,5,24,5,5,24,6,5,0,2,6,24,3,6,0,4,6,74,5,6,99,6,6,49,5,7,50,4,8,75,5,8,73,1,9,0,2,9,0,3,9,26,"
=d,=11,=60,"=5,0,0,5,1,0,5,2,0,1,3,119,2,3,0,3,3,24,5,3,0,0,4,117,1,4,94,4,4,46,5,4,0,0,5,0,5,5,0,0,6,0,5,6,0,0,7,0,5,7,0,0,8,97,1,8,97,4,8,50,5,8,0,2,9,0,3,9,25,5,9,0,"
